Unit,Primary_Emotion,Polarity,Mood,Personality
驚嚇,3,N,,
TMD,4,N,,
PUMA,4,N,,
LP,4,N,,
GY,4,N,,
GGYY,4,N,,
e04,4,N,,
ㄏㄏ,1,P,,
鬱鬱寡歡,2,N,,
鬱鬱不樂,2,N,,
鬱結,2,N,,
鬱悶,2,N,,
鬱悒,2,N,,
鬱卒,2,N,,
鬱,2,N,,
驢,4,N,,
讚譽,1,P,,
讚賞,1,P,,
讚歎,1,P,,
讚嘆,1,P,,
讚揚,1,P,,
讚美,1,P,,
讚佩,1,P,,
讚不絕口,1,P,,
讚,1,P,,
矚望,,P,,
齷齪,,N,,
靈感,,P,,
靈敏,,P,,
靈活,,P,,
靈巧,,P,,
艷羨,4,P,,
體諒,,P,,
體會,,P,,
體貼,,P,,
體惜,,P,,
體面,,P,,
體恤,,P,,
驚懼,3,N,,
驚擾,,N,,
驚駭,3,N,,
驚險,3,N,,
驚歎,5,N,,
驚魂未定,3,N,,
驚疑,5,N,,
驚嘆,5,P,,
驚詫,5,N,,
驚羨,5,P,,
驚慌失措,3,N,,
驚慌,3,N,,
驚愕,5,0,,
驚惶失措,3,N,,
驚惶,3,N,,
驚喜萬分,5,P,,
驚喜交集,5,P,,
驚喜,5,P,,
驚訝,5,0,,
驚異,5,0,,
驚悚,3,N,,
驚恐萬狀,3,N,,
驚恐,3,N,,
驚怕,3,N,,
驚奇,5,P,,
驚呆,5,0,,
驚心掉膽,3,N,,
驚心動魄,5,N,,
驚心,5,0,,
驚弓之鳥,5,N,,
驚人,5,0,,
驚,5,0,,
變質,,N,,
變動,,0,,
變味,,N,,
變色,,N,,
攪亂,,N,,
戀戀不捨,1,P,,
戀愛,1,P,,
戀情,1,P,,
戀家,1,P,,
戀春,1,P,,
戀人,1,P,,
戀,1,P,,
髒,,N,,
驕傲,1,P,,
顫抖,3,N,,
竊笑,1,P,,
灑淚,2,N,,
歡歡喜喜,1,P,,
歡躍,1,P,,
歡騰,1,P,,
歡顏,1,P,,
歡聲,1,P,,
歡樂,1,P,,
歡聚,1,P,,
歡暢,1,P,,
歡愉,1,P,,
歡喜,1,P,,
歡送,1,P,,
歡笑,1,P,,
歡悅,1,P,,
歡娛,1,P,,
歡眉喜眼,1,P,,
歡迎,1,P,,
歡欣鼓舞,1,P,,
歡欣,1,P,,
歡呼雀躍,1,P,,
歡呼,1,P,,
歡快,1,P,,
歡心,1,P,,
歡天喜地,1,P,,
歡,1,P,,
黯然銷魂,2,N,,
黯然神傷,2,N,,
黯然,2,N,,
顧慮重重,3,N,,
顧慮,3,N,,
顧盼自雄,,P,,
顧念,,0,,
躊躇滿志,,P,,
躊躇,,N,,
護,,P,,
譴責,4,N,,
蠢,,N,,
纏綿悱惻,,P,,
纏綿,,P,,
纏訟,,N,,
纏身,,N,,
纍纍,,P,,
爛貨,4,N,,
爛,4,N,,
懾,3,N,,
懼怕,3,N,,
懼,3,N,,
騷擾,4,N,,
騷貨,4,N,,
騷動,,N,,
騷,,N,,
饒恕,,P,,
飄飄然,1,P,,
飄飄欲仙,1,P,,
釋然,,P,,
躁鬱,,N,,
躁急,1,N,,
贏錢,1,P,,
贏得,1,P,,
贏取,1,P,,
贏,1,P,,
警覺,3,N,,
警醒,3,N,,
警惕,3,N,,
觸景傷情,2,N,,
觸景生情,2,N,,
觸動,1,P,,
觸怒,4,N,,
觸目驚心,3,N,,
觸,,,,
覺著,,0,,
覺得,,0,,
覺,,,,
耀眼,1,P,,
競爭,,0,,
犧牲,,N,,
懺悔,2,N,,
懸念,3,N,,
懸心吊膽,3,N,,
寶貴,1,P,,
寶貝,1,P,,
嚴厲,4,N,,
嚴酷,4,N,,
嚴格,4,N,,
嚴峻,4,N,,
嚴重,,N,,
騙,,N,,
顛狂,3,N,,
願意,1,P,,
願,1,P,,
霧裡看花,5,N,,
難聽,,N,,
難題,,N,,
難熬,2,N,,
難聞,,N,,
難過,2,N,,
難堪,2,N,,
難割難捨,,N,,
難捨難離,,N,,
難看,,N,,
難為情,2,N,,
難受,2,N,,
難吃,,N,,
難以置信,,N,,
難以名狀,,0,,
關懷,1,P,,
關心,1,P,,
辭職,,N,,
贊同,1,P,,
譏,4,N,,
穩健,,P,,
穩如泰山,,P,,
禱,,P,,
礙難,,N,,
癡漢,4,N,,
癡迷,1,N,,
癡心妄想,1,N,,
癡心,1,P,,
癡,,,,
爆發,4,N,,
懷戀,,N,,
懷疑,4,N,,
懷想,2,N,,
懷鄉,2,N,,
懷春,2,N,,
懷恨,4,N,,
懷念,2,N,,
懶蟲,4,N,,
懶散,4,N,,
懶惰,4,N,,
懶趴,4,N,,
懶洋洋,4,N,,
懶叫,4,N,,
懶,4,N,,
懲罰,4,N,,
寵壞,,N,,
寵愛,1,P,,
寵辱不驚,,0,,
寵幸,1,P,,
寵,,0,,
壞運,4,N,,
壞話,4,N,,
壞蛋,4,N,,
壞處,4,N,,
壞事,4,N,,
壞死,4,N,,
壞心,4,N,,
壞人,4,N,,
鬆懈,1,0,,
鬆快,1,P,,
騎虎難下,,N,,
額手稱慶,,P,,
鞭長莫及,,N,,
離婚,,N,,
雞掰,4,N,,
雞巴,4,N,,
雜亂,,N,,
鎮壓,,N,,
鎮靜,1,P,,
鎮定自若,1,P,,
鎮定,1,P,,
轉悲為喜,,P,,
蹩腳,,N,,
蹧蹋,,N,,
豐富,1,P,,
謹慎,,0,,
藐視,4,N,,
藐,,N,,
翻然悔悟,2,N,,
翹首以待,,P,,
翹企,"1,3",P,,
簡潔,,P,,
歸咎,,N,,
歸依,,P,,
歸心似箭,,P,,
斷線風箏,,N,,
斷腸,2,N,,
懣,2,N,,
嚮往,1,P,,
鮮美,1,P,,
鮮明,1,P,,
騁懷,1,P,,
鍾愛,1,P,,
鍾情,1,P,,
醜,2,N,,
賽,4,N,,
豁朗,1,P,,
謝謝,1,P,,
謝意,1,P,,
謝天謝地,1,P,,
講究,,P,,
講求,,0,,
覬覦,4,N,,
褻瀆,4,N,,
虧損,4,N,,
虧心,2,N,,
薄,,0,,
艱難,,N,,
艱澀,,N,,
艱險,,N,,
艱鉅,,N,,
艱深,,N,,
艱苦,2,N,,
艱辛,2,N,,
艱困,2,N,,
臨淵羨魚,,N,,
臊,2,N,,
臉紅脖子粗,4,N,,
臉紅,2,N,,
臉皮薄,2,0,,
臉皮厚,4,N,,
膽顫心驚,3,N,,
膽戰心驚,3,N,,
膽量,,0,,
膽寒,3,N,,
膽破心驚,3,N,,
膽怯,3,N,,
膽小,3,N,,
聳人聽聞,3,N,,
聲嘶力竭,,N,,
聲淚俱下,2,N,,
聲名狼藉,4,N,,
聰明,,P,,
繃臉,4,N,,
繃緊,4,N,,
繁瑣,,N,,
縮頭縮腦,3,N,,
糟蹋,4,N,,
糟糕,4,N,,
糟心,4,N,,
糟,4,N,,
瞪眼,4,N,,
瞧得起,1,P,,
瞧不起,4,N,,
獲獎,1,P,,
獲勝,1,P,,
燦爛,1,P,,
濫情,1,0,,
濫用,,N,,
擊敗,2,N,,
擊,,,,
戲弄,,N,,
懨懨,2,N,,
懦,2,N,,
應付,,0,,
幫助,1,P,,
幫忙,1,P,,
幫手,1,P,,
尷尬,2,N,,
壓迫,2,N,,
壓制,2,N,,
壓抑,2,N,,
壓力,2,N,,
嚇壞,3,N,,
嚇,3,N,,
優點,1,P,,
優勢,1,P,,
優雅,1,P,,
優惠,1,P,,
優勝,1,P,,
優美,1,P,,
優柔寡斷,,N,,
優哉游哉,1,P,,
優良,1,P,,
優秀,1,P,,
優,1,P,,
償,,,,
默默無言,2,N,,
默默不語,2,N,,
默然,2,N,,
默哀,2,N,,
默不作聲,2,N,,
默,2,N,,
黔驢技窮,,N,,
黔驢之技,4,N,,
駭然,3,N,,
駭異,3,N,,
駭怪,3,N,,
頹靡,2,N,,
頹廢,2,N,,
頹然,2,N,,
頹喪,2,N,,
頹敗,2,N,,
頹唐,2,N,,
頹,2,N,,
頭痛,2,N,,
頭昏,2,N,,
靦腆,2,P,,
靜默,2,N,,
隨意,,P,,
隨便,,N,,
錯誤,,N,,
錯過,,N,,
錯亂,,N,,
錯怪,,N,,
錯,,N,,
遺憾,2,N,,
遺棄,2,N,,
遺臭萬年,4,N,,
遲疑,,N,,
遲鈍,,N,,
遲到,,N,,
輸掉,2,N,,
輸家,2,N,,
輸,2,N,,
蹂躪,4,N,,
踴躍,,P,,
謀殺,4,N,,
諾言,,P,,
諷刺,4,N,,
親愛的,1,P,,
親愛,1,P,,
親痛仇快,,N,,
親密,1,P,,
親和,1,P,,
親吻,1,P,,
親切,1,P,,
親,1,P,,
褫奪,4,N,,
融融,1,P,,
融洽,1,P,,
蕭查某,4,N,,
蕩婦,4,N,,
舉鼎絕臏,,N,,
興奮,1,P,,
興趣,1,P,,
興歎,2,N,,
興高彩烈,1,P,,
興高采烈,1,P,,
興致勃勃,1,P,,
興致,1,P,,
興旺,1,P,,
興沖沖,1,P,,
膩煩,4,N,,
膩味,4,N,,
膩,4,N,,
罹難,2,N,,
篤信,,P,,
篤定,,P,,
積極,1,P,,
瞠目結舌,3,0,,
盧洨,4,N,,
盧小,4,N,,
盧,4,N,,
瘸,2,N,,
獨創,,P,,
獨自,2,0,,
獨木難支,2,N,,
獨木不成林,2,N,,
激勵,1,P,,
激憤,4,N,,
激情,1,P,,
激動不已,1,P,,
激動人心,1,P,,
激動,1,P,,
激怒,4,N,,
橫眉豎眼,4,N,,
橫眉怒目,4,N,,
機靈,3,P,,
機警,3,P,,
機機歪歪,4,N,,
機掰,4,N,,
機敏,,P,,
機歪,4,N,,
整潔,,P,,
整齊,,P,,
擔驚受怕,3,N,,
擔憂,3,N,,
擔保,,P,,
擔心,3,N,,
操雞掰,4,P,,
操勞,,N,,
操神,3,N,,
操你媽,4,N,,
操你娘,4,N,,
操守,,0,,
操心,3,N,,
操,4,N,,
擅長,1,P,,
擁護,,P,,
擁抱,1,P,,
戰戰兢兢,3,N,,
戰亂,,N,,
戰勝,1,P,,
戰鬥,,N,,
戰爭,,N,,
戰火,,N,,
懊惱,2,N,,
懊喪,2,N,,
懊悔,2,N,,
憨笑,1,P,,
憑弔,2,N,,
憊,2,N,,
噱,1,N,,
噬臍莫及,2,N,,
器重,,P,,
器,,,,
噤若寒蟬,3,N,,
冀望,1,P,,
冀,1,P,,
魅力,1,P,,
魄散魂飛,3,N,,
魄力,,P,,
鬧脾氣,4,N,,
鬧情緒,4,N,,
鬧心,4,N,,
餘悸,3,N,,
養育,,P,,
靠腰,4,N,,
靠背,4,N,,
靠杯,4,N,,
靠北,4,N,,
靠夭,4,N,,
靠么,4,N,,
靠,4,N,,
霉運,2,N,,
震驚,5,N,,
震顫,3,N,,
震怒,4,N,,
震,,,,
鋌而走險,3,N,,
銷魂,1,P,,
醉心,1,P,,
遷怒,4,N,,
遭受,4,N,,
適當,,P,,
適意,,P,,
適時,,P,,
適宜,,P,,
適合,,P,,
輝煌,1,P,,
賭爛,4,N,,
賭氣,4,N,,
質疑,4,N,,
賤貨,4,N,,
賤骨頭,4,N,,
賤芭樂,4,N,,
賤拔辣,4,N,,
賤民,4,N,,
賤人,4,N,,
賤,4,N,,
賣俏,,P,,
賞識,1,P,,
賞心悅目,1,P,,
豬腦,4,N,,
豬哥,4,N,,
豬,4,N,,
談笑自若,1,P,,
談虎色變,,N,,
諂媚,,N,,
諂笑,,N,,
調戲,,N,,
調情,1,P,,
調皮,,N,,
衝擊,,0,,
衝動,,N,,
衝突,4,N,,
蔫頭耷腦,2,N,,
蔫不唧,2,N,,
蔫,,,,
蔑視,4,N,,
緬懷,2,N,,
緩和,1,P,,
緘默,2,N,,
緘口結舌,2,N,,
緘口,2,N,,
糊塗,,N,,
窮困,2,N,,
窮,2,N,,
確信,,P,,
確定,,P,,
瞑目,1,P,,
獎勵,1,P,,
獎學金,1,P,,
獎賞,1,P,,
獎牌,1,P,,
獎章,1,P,,
獎品,1,P,,
獎金,1,P,,
獎狀,1,P,,
獎杯,1,P,,
獎助,1,P,,
獎,1,P,,
熱戀,1,P,,
熱鬧,1,P,,
熱愛,1,P,,
熱淚奪眶,,0,,
熱淚盈眶,,0,,
熱望,1,P,,
熱情,1,P,,
熱衷,1,P,,
熱烈,1,P,,
熱切,1,P,,
熱中,1,P,,
熬心,1,P,,
熨帖,1,P,,
潸然淚下,2,N,,
潔淨,,P,,
潑婦,4,N,,
毅然,,P,,
歎觀止矣,1,P,,
歎羨,4,N,,
歎惜,2,N,,
歎惋,2,N,,
歎氣,2,N,,
歎息,2,N,,
歎為觀止,1,P,,
歎,,,,
樂觀,1,P,,
樂融融,1,P,,
樂趣,1,P,,
樂極生悲,2,N,,
樂意,1,P,,
樂園,1,P,,
樂滋滋,1,P,,
樂善,1,P,,
樂陶陶,1,P,,
樂悠悠,1,P,,
樂得,1,P,,
樂於,1,P,,
樂呵呵,1,P,,
樂而忘返,1,P,,
樂而,1,P,,
樂此不疲,1,P,,
樂此,1,P,,
樂在其中,1,P,,
樂天,1,P,,
樂不思蜀,1,P,,
樂不可支,1,P,,
樂不,,P,,
樂子,1,P,,
樂,1,P,,
暴躁,4,N,,
暴跳如雷,4,N,,
暴怒,4,N,,
暴力,4,N,,
暮氣沉沉,2,N,,
敵對,4,N,,
敵愾同仇,4,N,,
敵意,4,N,,
敵視,4,N,,
敵人,4,N,,
撫育,,P,,
撒歡,1,P,,
撒謊,4,N,,
撒嬌,1,P,,
撒氣,4,N,,
摯誠,1,P,,
摯愛,1,P,,
摯情,1,P,,
摯友,1,P,,
憫,1,P,,
憧憬,1,P,,
憤懣,4,N,,
憤激,4,N,,
憤憤,4,N,,
憤然,4,N,,
憤慨,4,N,,
憤悶,4,N,,
憤恨,4,N,,
憤怒,4,N,,
憤世嫉俗,4,N,,
憤,4,N,,
憚,1,P,,
憐憫,1,P,,
憐愛,1,P,,
憐貧惜老,1,P,,
憐惜,1,P,,
憐香惜玉,1,P,,
憐恤,1,P,,
憐,1,P,,
憎惡,4,N,,
憎恨,4,N,,
憎,4,N,,
憋悶,2,N,,
憋氣,2,N,,
憋屈,2,N,,
憋,,N,,
憂鬱,2,N,,
憂懼,"2,3",N,,
憂憤,"2,4",N,,
憂慮,"2,3",N,,
憂煩,2,N,,
憂愁,2,,,
憂傷,2,NN,,
憂惱,"2,3",N,,
憂悶,2,N,,
憂勞,,N,,
憂患,2,N,,
憂思,"2,3",N,,
憂念,2,N,,
憂困,2,N,,
憂心忡忡,"2,3",N,,
憂心如焚,"2,3",N,,
憂心,"2,3",N,,
憂,2,N,,
慶賀,1,P,,
慶祝,1,P,,
慶幸,1,P,,
慶典,1,P,,
慶生,1,P,,
慶功,1,P,,
慶,1,P,,
慰,1,P,,
慮,3,N,,
慕,1,P,,
德行,1,P,,
彈冠相慶,1,P,,
廢物,4,N,,
廢材,4,N,,
寬慰,1,P,,
寬暢,1,P,,
寬恕,1,P,,
寬容,1,P,,
寬大,1,P,,
嬌滴滴,,P,,
嬌慣,,P,,
嬌裡嬌氣,,P,,
嬌羞,,P,,
嬌弱,,P,,
嬌,,P,,
嬉笑,1,P,,
嬉皮笑臉,1,P,,
嫵媚,,P,,
墮落,4,N,,
噴飯,1,P,,
噁心,4,N,,
噁,4,N,,
嘻嘻哈哈,1,P,,
嘻嘻,1,P,,
嘻,1,P,,
嘴砲,4,N,,
嘲諷,4,N,,
嘲罵,4,N,,
嘲笑,4,N,,
嘲弄,4,N,,
嘰嘰歪歪,4,N,,
嘮叨,,N,,
噓,4,N,,
劇烈,,N,,
僵硬,,N,,
僵持,,N,,
僵局,,N,,
僵冷,,N,,
僵住,,N,,
僵化,,N,,
僵,,N,,
鼻酸,,N,,
鳴冤叫屈,2,N,,
鳴不平,,N,,
魂牽夢繫,1,P,,
魂牽夢縈,1,P,,
魂飛魄散,3,N,,
魂不附體,3,N,,
魂不守舍,3,N,,
骯髒,4,N,,
駁斥,4,N,,
銘印,,P,,
酸溜溜,4,N,,
酸楚,2,N,,
酸甜苦辣,,C,,
酸辛,2,N,,
酸,,,,
酷愛,1,P,,
酷刑,4,N,,
鄙薄,4,N,,
鄙棄,4,N,,
鄙視,4,N,,
鄙夷,4,N,,
鄙,4,N,,
遠離,,N,,
遠水解不了近渴,,N,,
輕鬆,1,P,,
輕蔑,4,N,,
輕敵,4,N,,
輕輕鬆鬆,1,P,,
輕視,4,N,,
輕忽,,N,,
輕快,1,P,,
輕,,,,
趕羚羊,4,N,,
赫然而怒,4,N,,
豪華,,P,,
豪爽,,P,,
說謊,,N,,
說長道短,,N,,
說服,,P,,
誤解,,N,,
誤會,,N,,
誤,,N,,
認真,,P,,
認為,,0,,
認可,,P,,
腐爛,4,N,,
腐敗,4,N,,
腐臭,4,N,,
腐朽,4,N,,
聞風喪膽,3,N,,
緊繃,3,N,,
緊緊張張,3,N,,
緊張,3,N,,
精彩,1,P,,
精神不振,2,N,,
精疲力竭,2,N,,
精疲力盡,2,N,,
精美,1,P,,
精心,1,P,,
精力,,P,,
窩囊,4,N,,
窩火,4,N,,
窩心,1,P,,
稱讚,1,P,,
稱願,1,P,,
稱羨,1,P,,
稱意,1,P,,
稱快,1,P,,
稱心如意,1,P,,
稱心,1,P,,
種豬,4,N,,
福氣,1,P,,
禍,4,N,,
盡興,1,P,,
瘋,3,N,,
疑懼,"3,4",N,,
疑難,4,N,,
疑點,4,N,,
疑慮,"3,4",N,,
疑惑,5,N,,
疑神疑鬼,4,N,,
疑神,4,N,,
疑心生暗鬼,4,N,,
疑心,4,N,,
疑,4,N,,
瑣碎,,N,,
瑣事,,N,,
熙和恬靜,1,P,,
漫不經心,2,N,,
漠然置之,2,N,,
漠然,2,N,,
漠視,2,N,,
漠不關心,2,N,,
漂亮,1,P,,
滿意,1,P,,
滿面笑容,1,P,,
滿面春風,1,P,,
滿足,1,P,,
滿不在乎,2,N,,
滿,,,,
歉疚,2,N,,
歉,2,N,,
槁木死灰,2,N,,
榮譽,1,P,,
榮耀,1,P,,
榮幸,1,P,,
暢快,1,P,,
暢,1,P,,
摧毀,,N,,
慷慨,1,P,,
慵懶,2,N,,
慪氣,4,N,,
慪,"4,1",C,,
慣,1,0,,
慢,,0,,
慚愧,2,N,,
慚,2,N,,
慘痛,2,N,,
慘然,2,N,,
慘,2,N,,
慈悲,1,P,,
慈善,1,P,,
慈祥,1,P,,
慈,1,P,,
對質,4,N,,
對眼,1,P,,
對得起,,P,,
對得住,,P,,
對抗,,N,,
對,,0,,
寧靜,1,P,,
寤寐思之,2,N,,
寢食難安,3,N,,
寢食不安,3,N,,
寡廉鮮恥,4,N,,
嫩,4,N,,
嫣然一笑,1,P,,
夢想,1,P,,
夢寐以求,1,P,,
圖,1,P,,
嘉獎,1,P,,
嘆氣,2,N,,
嘆息,2,N,,
嘆,2,N,,
嘀咕,,N,,
厭煩,4,N,,
厭棄,4,N,,
厭惡,4,N,,
厭倦,4,N,,
厭食,4,N,,
厭世,4,N,,
厭,4,N,,
僖,1,P,,
僕僕風塵,,0,,
鼓勵,1,P,,
鼓舞,1,P,,
頑強,,N,,
頑固,,N,,
隔離,2,N,,
違規,4,N,,
違背,4,N,,
違約,4,N,,
違紀,4,N,,
違法,4,N,,
違抗,4,N,,
違犯,4,N,,
違心,4,N,,
道,,0,,
遑,3,N,,
過錯,4,N,,
過慮,3,N,,
過意不去,2,N,,
過失,4,N,,
過分,4,N,,
遊戲,1,P,,
遇難,2,N,,
遇到,,0,,
遂意,1,P,,
遂心如意,1,P,,
遂心,1,P,,
躲避,,N,,
賊,4,N,,
誠實,1,P,,
誠惶誠恐,3,N,,
誠心,1,P,,
誠,1,P,,
誇大,,N,,
詼諧,1,P,,
該死,4,N,,
詭計,4,N,,
詫異,5,N,,
詫,5,N,,
解脫,1,P,,
解氣,4,N,,
解恨,4,N,,
解決,,P,,
號啕大哭,2,N,,
號哭,2,N,,
號,,,,
落實,,P,,
落寞,2,N,,
落淚,2,N,,
落空,2,N,,
落伍,,N,,
腦殘,4,N,,
義憤填膺,4,N,,
義憤,4,N,,
義,,,,
羨慕,1,P,,
羨,1,P,,
罪孽,4,N,,
罪過,4,N,,
罪惡,4,N,,
罪行,4,N,,
罪名,4,N,,
罪犯,4,N,,
罪大惡極,4,N,,
罪人,4,N,,
罪,4,N,,
經歷,,0,,
粲然一笑,1,P,,
萬箭穿心,2,N,,
萬歲,1,P,,
萬般無奈,2,N,,
萬念俱灰,2,N,,
萬不得已,2,N,,
禽獸,4,N,,
禁忌,4,N,,
禁止,4,N,,
睹物傷情,2,N,,
睹物思人,2,N,,
瘁,2,N,,
痴狂,3,N,,
痰喘,2,N,,
當心,3,0,,
當之無愧,1,P,,
當,,,,
煩躁,4,N,,
煩雜,4,N,,
煩擾,4,N,,
煩憂,3,N,,
煩瑣,4,N,,
煩愁,2,N,,
煩亂,4,N,,
煩惱,3,N,,
煩悶,2,N,,
煩勞,,N,,
煩忙,,N,,
煩心,4,N,,
煩人,4,N,,
煩,4,N,,
煞風景,4,N,,
滑稽,1,P,,
溺愛,1,P,,
溫馨,1,P,,
溫暖,1,P,,
溫情,1,P,,
溫柔,1,P,,
溫和,1,P,,
毀壞,4,N,,
毀謗,4,N,,
毀滅,4,N,,
毀損,4,N,,
毀傷,4,N,,
毀棄,4,N,,
毀敗,4,N,,
毀掉,4,N,,
極樂,1,P,,
極端,,0,,
極好,1,P,,
業障,4,N,,
暗喜,1,P,,
暗送秋波,1,P,,
暗笑,1,P,,
暖和,1,P,,
敬意,1,P,,
敬重,1,P,,
敬畏,1,0,,
敬而遠之,,N,,
搖頭擺尾,1,P,,
搖頭晃腦,1,P,,
搔頭弄姿,,P,,
搏鬥,,N,,
損壞,4,N,,
損傷,4,N,,
損害,4,N,,
損失,4,N,,
損人,4,N,,
慍,4,N,,
慌裡慌張,3,N,,
慌慌張張,3,N,,
慌亂,3,N,,
慌張,3,N,,
慌忙,3,N,,
慌手慌腳,3,N,,
慌,3,N,,
愷,1,P,,
愧對,2,N,,
愧赧,2,N,,
愧恨,2,N,,
愧疚,2,N,,
愧怍,2,N,,
愧,2,N,,
感觸,1,P,,
感覺到,,0,,
感覺,,0,,
感懷,1,P,,
感謝,1,P,,
感激,1,P,,
感歎,2,N,,
感傷,2,N,,
感慨萬端,2,N,,
感慨萬分,2,N,,
感慨萬千,2,N,,
感慨不已,2,N,,
感慨,2,N,,
感情,1,P,,
感動,1,P,,
感恩,1,P,,
感念,1,P,,
感到,,0,,
感,,0,,
愛戀,1,P,,
愛護,1,P,,
愛憐,1,P,,
愛慕,1,P,,
愛莫能助,,N,,
愛惜,1,P,,
愛情,1,P,,
愛好,1,P,,
愛心,1,P,,
愛不釋手,1,P,,
愛上,1,P,,
愛人,1,P,,
愛,1,P,,
愚蠢,4,N,,
愚笨,4,N,,
意欲,1,P,,
意在,1,P,,
愁腸百結,2,N,,
愁悶,2,N,,
愁悵,2,N,,
愁苦,2,N,,
愁眉鎖眼,2,N,,
愁眉不展,2,N,,
愁思,2,N,,
愁,2,N,,
惹惱,4,N,,
惹氣,4,N,,
想望,1,P,,
想要,1,P,,
想念,2,N,,
想不開,2,N,,
想,1,P,,
微醺,1,P,,
微笑,1,P,,
徬徨,3,N,,
幹林老木,4,N,,
幹你祖母,4,N,,
幹你娘,4,N,,
幹你老母,4,N,,
幹他娘,4,N,,
幹,4,N,,
嫌憎,4,N,,
嫌隙,4,N,,
嫌疑,4,N,,
嫌棄,4,N,,
嫌惡,4,N,,
嫌怨,4,N,,
嫌,4,N,,
嫉賢妒能,4,N,,
嫉恨,4,N,,
嫉妒,4,N,,
嫉,4,N,,
媽寶,4,N,,
媽的,4,N,,
奧客,4,N,,
塌實,,P,,
嗲聲嗲氣,,0,,
嗤之以鼻,4,N,,
嗟歎,2,N,,
嗜睡,,0,,
嗜書如渴,,P,,
嗜,1,0,,
嗚咽,2,N,,
嗔怪,4,N,,
嗔,4,N,,
勢利,4,N,,
勢成騎虎,,N,,
傾心,1,P,,
傻樂,1,P,,
傻眼,5,0,,
傻笑,1,P,,
傻子,4,N,,
傻,4,N,,
傷感,2,N,,
傷勢,2,N,,
傷痛,2,N,,
傷殘,2,N,,
傷悲,2,N,,
傷逝,2,N,,
傷痕,2,N,,
傷神,2,N,,
傷害,2,N,,
傷心,2,N,,
傷天害理,2,N,,
傷亡,2,N,,
傷人,4,N,,
傷,2,N,,
債務,4,N,,
傳情,1,P,,
傲慢,4,N,,
催人奮進,1,P,,
催人淚下,2,N,,
亂,,N,,
黑下臉,4,N,,
飲泣吞聲,2,N,,
飲泣,2,N,,
順利,1,P,,
順心,1,P,,
雅緻,,P,,
隆重,,P,,
陽光,1,P,,
閒話,,N,,
閒散,,0,,
開懷大笑,1,P,,
開懷,1,P,,
開顏,1,P,,
開朗,1,P,,
開玩笑,,0,,
開明,1,P,,
開心,1,P,,
鈍,2,N,,
酣暢,1,P,,
酣,1,P,,
逸樂,1,P,,
進退維谷,,N,,
進退兩難,,N,,
跛腳,,N,,
跛,,N,,
超雞掰,4,N,,
超雞排,4,N,,
費力,,N,,
貶抑,4,N,,
詛咒,4,N,,
詐騙,4,N,,
訴苦,2,N,,
虛驚,3,0,,
虛榮心,,N,,
虛榮,,N,,
虛弱不堪,2,N,,
虛弱,2,N,,
虛心,,P,,
虛,,0,,
著魔,1,N,,
著慌,3,N,,
著迷,1,P,,
著急,3,N,,
著忙,3,N,,
萎靡不振,2,N,,
菲薄,,N,,
華麗,1,P,,
舒適,1,P,,
舒暢,1,P,,
舒服,1,P,,
舒坦,1,P,,
舒心,1,P,,
脾氣,,P,,
統治,,P,,
絕望,2,N,,
絕倒,1,P,,
絕妙,1,P,,
絕口,,0,,
結巴,,0,,
結仇,4,N,,
答應,,P,,
等閒視之,,N,,
窘迫,2,N,,
窘,2,N,,
硬氣,,P,,
睏倦,2,N,,
盜,,N,,
發蒙,5,N,,
發楞,,0,,
發楚,,0,,
發慌,3,N,,
發愁,2,N,,
發嗲,,0,,
發傻,,N,,
發脾氣,4,N,,
發愣,,0,,
發臭,4,N,,
發笑,1,P,,
發狠,4,N,,
發急,3,N,,
發怒,4,N,,
發狂,3,N,,
發牢騷,4,N,,
發抖,3,N,,
發呆,,0,,
發作,,N,,
發火,4,N,,
發毛,4,N,,
發,,,,
登徒子,4,N,,
痛感,2,N,,
痛痛快快,1,P,,
痛惡,4,N,,
痛惜,2,N,,
痛悼,2,N,,
痛悔,2,N,,
痛哭流涕,2,N,,
痛哭,2,N,,
痛苦,2,N,,
痛恨,4,N,,
痛定思痛,2,N,,
痛快淋漓,1,P,,
痛快,1,P,,
痛心疾首,2,N,,
痛心,2,N,,
痛切,2,N,,
痛不欲生,2,N,,
痛,2,N,,
疏漏,,N,,
疏忽,,N,,
畫餅充飢,,N,,
琢磨不透,,N,,
猶豫,,0,,
猶疑,,0,,
焦躁,3,N,,
焦頭爛額,3,N,,
焦慮,3,N,,
焦急,3,N,,
焦炙,3,N,,
焦灼,3,N,,
焦心,3,N,,
無懼,,P,,
無關緊要,,0,,
無禮,4,N,,
無趣,,N,,
無憂無慮,1,P,,
無精打采,2,N,,
無暇,,N,,
無愧於,,P,,
無愧,,P,,
無意義,,N,,
無辜,,P,,
無聊,,N,,
無視,,N,,
無理,,N,,
無望,2,N,,
無情,4,N,,
無從,,N,,
無常,,N,,
無能為力,,N,,
無能,,N,,
無益,,N,,
無效,,N,,
無恥之尤,4,N,,
無恥,4,N,,
無害,,P,,
無計可施,,N,,
無畏,,P,,
無知,,N,,
無法,,0,,
無所謂,,,,
無所適從,3,N,,
無所措手足,3,N,,
無奈何,,N,,
無奈,,N,,
無味,,N,,
無足輕重,,N,,
無言以對,,N,,
無助,3,N,,
無地自容,,N,,
無用,,N,,
無可奈何,,N,,
無力回天,,N,,
無力,,N,,
